ax,ay,az,gx,gy,gz,temp_raw,flags,ax_g,ay_g,az_g,a_mag
18385,-8886,-23513,16390,16362,-20714,-11755,-16383,2.298125,-1.1107500000000001,-2.939125,3.8927624951633004
21072,26553,0,0,2,0,0,0,2.634,3.319125,0.0,4.237280586133635
25792,-24163,14510,-16399,-15168,31447,4482,16391,3.224,-3.020375,1.81375,4.775618305845328
-12748,29571,-29029,-16383,21232,26553,0,0,-1.5935000000000001,3.696375,-3.628625,5.419349571789035
2,0,0,0,15376,-3035,-7721,16366,0.00025,0.0,0.0,0.00025
-23953,-27671,-26118,16393,1478,1509,-11113,-16379,-2.994125,-3.458875,-3.2647500000000003,5.620248512632693
21292,26553,0,0,2,0,0,0,2.6615,3.319125,0.0,4.254429810870665
-4008,-25893,-6231,16372,-14217,12713,-26243,16398,-0.501,-3.236625,-0.778875,3.366509862788167
21657,11996,14300,-16379,21352,26553,0,0,2.707125,1.4995,1.7875,3.5738190029190062
2,0,0,0,-3243,53,-15751,16409,0.00025,0.0,0.0,0.00025
-11319,-2612,4097,16401,8568,16668,-3932,-16380,-1.414875,-0.3265,0.512125,1.5397225500881646
21412,26553,0,0,2,0,0,0,2.6765,3.319125,0.0,4.263829618503183
-12236,16310,-30842,16385,24946,16528,-30373,16401,-1.5295,2.03875,-3.8552500000000003,4.621560815893263
-22220,29189,-21228,-16379,21472,26553,0,0,-2.7775,3.648625,-2.6535,5.297927225870982
2,0,0,0,0,0,0,0,0.00025,0.0,0.0,0.00025
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
21532,26553,0,0,2,0,0,0,2.6915,3.319125,0.0,4.273261402678872
-21720,23634,7649,16391,-32693,13223,8229,16385,-2.715,2.95425,0.956125,4.124680966829435
18564,-28221,-18099,-16382,21592,26553,0,0,2.3205,-3.527625,-2.262375,4.790323478769467
2,0,0,0,-27080,-3113,-27404,16362,0.00025,0.0,0.0,0.00025
-12559,28531,-7876,16390,25946,1761,-4488,-16384,-1.5698750000000001,3.5663750000000003,-0.9845,4.019051928782458
21822,26553,0,0,2,0,0,0,2.72775,3.319125,0.0,4.296185613788701
-18856,26517,16300,16378,10512,31948,-12913,16392,-2.357,3.314625,2.0375,4.549021228860666
-11924,28842,30172,-16376,21885,26553,0,0,-1.4905,3.6052500000000003,3.7715,5.426198490886599
2,0,0,0,-3573,-11301,7533,16386,0.00025,0.0,0.0,0.00025
6752,268,27359,16392,-6301,-29758,9104,-16380,0.844,0.0335,3.419875,3.522641518182769
21945,26553,0,0,2,0,0,0,2.743125,3.319125,0.0,4.305963949134967
-4593,16014,20025,16390,-3435,-27803,-8018,16402,-0.574125,2.00175,2.5031250000000003,3.256110769576183
339,32578,861,-16381,22005,26553,0,0,0.042375,4.07225,0.107625,4.073892345625987
2,0,0,0,0,0,0,0,0.00025,0.0,0.0,0.00025
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22065,26553,0,0,2,0,0,0,2.758125,3.319125,0.0,4.315535225351544
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,22125,26553,0,0,0.0,0.0,0.0,0.0
2,0,0,0,0,0,0,0,0.00025,0.0,0.0,0.00025
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22186,26553,0,0,2,0,0,0,2.77325,3.319125,0.0,4.325217489112542
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,22246,26553,0,0,0.0,0.0,0.0,0.0
2,0,0,0,0,0,0,0,0.00025,0.0,0.0,0.00025
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22310,26553,0,0,2,0,0,0,2.78875,3.319125,0.0,4.335172122087542
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,22371,26553,0,0,0.0,0.0,0.0,0.0
2,0,0,0,0,0,0,0,0.00025,0.0,0.0,0.00025
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22432,26553,0,0,2,0,0,0,2.8040000000000003,3.319125,0.0,4.344997901682462
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,22492,26553,0,0,0.0,0.0,0.0,0.0
2,0,0,0,0,0,0,0,0.00025,0.0,0.0,0.00025
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22552,26553,0,0,2,0,0,0,2.819,3.319125,0.0,4.35469307364193
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,22625,26553,0,0,0.0,0.0,0.0,0.0
2,0,0,0,-3392,16510,-13563,16293,0.00025,0.0,0.0,0.00025
-6302,-3356,5982,16438,23940,-30151,19454,-16365,-0.7877500000000001,-0.4195,0.74775,1.1643282934808379
22685,26553,0,0,2,0,0,0,2.835625,3.319125,0.0,4.365473617633028
-30944,15561,-25656,16374,-24872,-22407,7182,16401,-3.868,1.945125,-3.207,5.38792949709116
2072,28308,7437,-16376,22746,26553,0,0,0.259,3.5385,0.929625,3.6677330724338435
